germanName,scientificName,region,scoreWindow,v4BasePoints,acousticBonus,v4Points,acousticClass,acousticReason
Blaukehlchen,Luscinia svecica,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Blaumeise,Cyanistes caeruleus,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Blaumeise,Cyanistes caeruleus,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Bluthänfling,Linaria cannabina,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Blässgans,Anser albifrons,SE-NORTH,may_aug,6,0,6,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Blässhuhn,Fulica atra,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Brandseeschwalbe,Thalasseus sandvicensis,DE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Braunkehlchen,Saxicola rubetra,SE-SOUTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Braunohrbülbül,Hypsipetes amaurotis,JP-TOKYO,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Buchfink,Fringilla coelebs,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Buntspecht,Dendrocopos major,DE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Dickschnabelkrähe,Corvus macrorhynchos,JP-TOKYO,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Dohle,Coloeus monedula,DE-CENTRAL,may_aug,3,0,3,akustisch dankbar,"Dohlen sind kontaktfreudig und rufen im Flug, an Brutplätzen und in Trupps regelmäßig. Wenn die Art anwesend ist, ist ein Ton-Nachweis meist kein zusätzlicher Engpass."
Dohle,Coloeus monedula,DE-NORTH,may_aug,2,0,2,akustisch dankbar,"Dohlen sind kontaktfreudig und rufen im Flug, an Brutplätzen und in Trupps regelmäßig. Wenn die Art anwesend ist, ist ein Ton-Nachweis meist kein zusätzlicher Engpass."
Dorngrasmücke,Curruca communis,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Drosselrohrsänger,Acrocephalus arundinaceus,DE-NORTH,sep_nov,5,2,7,akustisch anspruchsvoll,Im September ist die intensive Gesangsphase weitgehend vorbei. Ein verwertbarer Ruf-/Kontaktnachweis eines ohnehin lokal auftretenden Drosselrohrsängers braucht deutlich mehr Timing als im Frühjahr.
Eichelhäher,Garrulus glandarius,DE-NORTH,sep_nov,1,0,1,akustisch dankbar,"Im Herbst sind Eichelhäher mit ihren rauen Rufen oft auffällig. Wenn die Art in der Umgebung aktiv ist, ist die Tonaufnahme meist kein zusätzlicher Engpass."
Eichelhäher,Garrulus glandarius,SE-SOUTH,may_aug,1,1,2,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Eiderente,Somateria mollissima,NO,may_aug,1,2,3,akustisch anspruchsvoll,"Eiderenten sind oft gut sichtbar auf offenem Wasser; Lautäußerungen sind deutlich stärker an Balz, Gruppen- und Nahsituationen gebunden."
Elster,Pica pica,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Erlenzeisig,Spinus spinus,SE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Erlenzeisig,Spinus spinus,SE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Feldlerche,Alauda arvensis,DK,may_aug,1,0,1,akustisch dankbar,Der lange Singflug macht die Feldlerche in der Brutzeit akustisch besonders dankbar; bei Anwesenheit ist eine Aufnahme meist gut möglich.
Feldschwirl,Locustella naevia,DK,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Feldsperling,Passer montanus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Feldsperling,Passer montanus,SE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Felsentaube,Columba livia,DE-NORTH,may_aug,1,1,2,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Fichtenkreuzschnabel,Loxia curvirostra,SE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Fichtenkreuzschnabel,Loxia curvirostra,SE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Fischadler,Pandion haliaetus,DE-NORTH,sep_nov,4,3,7,akustische Glückssache,"Fischadler sind auf dem Zug oft lange sichtbar, bleiben dabei aber häufig still. Rufe treten vor allem bei Interaktionen, Alarm oder in Horstnähe auf; eine zufällige Rufaufnahme ist deshalb ein klarer Zusatztreffer."
Fitis,Phylloscopus trochilus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Flussseeschwalbe,Sterna hirundo,DE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Flussseeschwalbe,Sterna hirundo,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Flussuferläufer,Actitis hypoleucos,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Flussuferläufer,Actitis hypoleucos,SE-SOUTH,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Gartenbaumläufer,Certhia brachydactyla,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gartenbaumläufer,Certhia brachydactyla,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gartengrasmücke,Sylvia borin,DE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gartengrasmücke,Sylvia borin,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gartenrotschwanz,Phoenicurus phoenicurus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gebirgsstelze,Motacilla cinerea,DE-CENTRAL,may_aug,2,1,3,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,DE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,DE-SOUTH,may_aug,2,1,3,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,DE-SOUTH,sep_nov,2,1,3,etwas Timing nötig,"Die Gebirgsstelze ist in Süddeutschland an geeigneten Fließgewässern im Frühherbst regelmäßig. Flug- und Kontaktrufe sind typisch, aber ein Sichtkontakt liefert nicht automatisch eine saubere Aufnahme."
Gebirgsstelze,Motacilla cinerea,DK,may_aug,4,1,5,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,NO,may_aug,4,1,5,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,SE-CENTRAL,may_aug,5,1,6,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,SE-NORTH,may_aug,6,1,7,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gebirgsstelze,Motacilla cinerea,SE-SOUTH,may_aug,4,1,5,etwas Timing nötig,"Gebirgsstelzen geben regelmäßig Flug- und Kontaktrufe, aber nicht jeder Sichtkontakt liefert automatisch eine saubere Aufnahme. Der Akustikbonus bleibt deshalb moderat."
Gelbspötter,Hippolais icterina,DE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gimpel,Pyrrhula pyrrhula,DE-NORTH,may_aug,3,2,5,akustisch anspruchsvoll,"Gimpel äußern meist leise, kurze Pfeifrufe. Eine saubere Aufnahme erfordert mehr Nähe und Timing als bei vielen anderen Finken."
Girlitz,Serinus serinus,DE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Goldammer,Emberiza citrinella,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Goldregenpfeifer,Pluvialis apricaria,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Goldregenpfeifer,Pluvialis apricaria,NO,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Goldregenpfeifer,Pluvialis apricaria,SE-SOUTH,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Graugans,Anser anser,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Graugans,Anser anser,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Graureiher,Ardea cinerea,DK,may_aug,1,1,2,etwas Timing nötig,"Graureiher geben zwar markante Flugrufe, sind bei vielen Sichtkontakten aber still. Der zusätzliche Aufnahmeaufwand ist vorhanden, aber nicht extrem."
Grauschnäpper,Muscicapa striata,DE-NORTH,may_aug,4,2,6,akustisch anspruchsvoll,"Grauschnäpper sind visuell oft gut zu entdecken, ihre Lautäußerungen sind dagegen eher leise, kurz und nicht dauerhaft präsent."
Grauschnäpper,Muscicapa striata,SE-SOUTH,may_aug,2,2,4,akustisch anspruchsvoll,"Grauschnäpper sind visuell oft gut zu entdecken, ihre Lautäußerungen sind dagegen eher leise, kurz und nicht dauerhaft präsent."
Großer Brachvogel,Numenius arquata,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Grünfink,Chloris chloris,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Grünschenkel,Tringa nebularia,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Grünschenkel,Tringa nebularia,SE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Grünspecht,Picus viridis,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Grünspecht,Picus viridis,DE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Grünspecht,Picus viridis,SE-SOUTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Gänsesäger,Mergus merganser,SE-NORTH,may_aug,3,2,5,akustisch anspruchsvoll,"Gänsesäger lassen sich häufig visuell entdecken, während Rufe relativ unauffällig und nicht bei jeder Begegnung zu hören sind."
Haubenmeise,Lophophanes cristatus,SE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Hausrotschwanz,Phoenicurus ochruros,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Hausrotschwanz,Phoenicurus ochruros,DE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Haussperling,Passer domesticus,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Heckenbraunelle,Prunella modularis,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Heidelerche,Lullula arborea,DK,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Heringsmöwe,Larus fuscus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Jagdfasan,Phasianus colchicus,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Japanbrillenvogel,Zosterops japonicus,JP-TOKYO,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kanadagans,Branta canadensis,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kanadagans,Branta canadensis,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kernbeißer,Coccothraustes coccothraustes,DE-NORTH,may_aug,4,2,6,akustisch anspruchsvoll,Kernbeißer sind akustisch vergleichsweise zurückhaltend; ihre kurzen Rufe sind deutlich leichter zu verpassen als den Vogel selbst.
Kernbeißer,Coccothraustes coccothraustes,DE-SOUTH,may_aug,3,2,5,akustisch anspruchsvoll,Kernbeißer sind akustisch vergleichsweise zurückhaltend; ihre kurzen Rufe sind deutlich leichter zu verpassen als den Vogel selbst.
Kiebitz,Vanellus vanellus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kiebitzregenpfeifer,Pluvialis squatarola,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Klappergrasmücke,Curruca curruca,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kleiber,Sitta europaea,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kleiber,Sitta europaea,SE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kohlmeise,Parus major,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kolkrabe,Corvus corax,DE-NORTH,may_aug,3,0,3,akustisch dankbar,Kolkraben sind sehr ruffreudig und ihre tiefen Rufe tragen weit. Daher kein zusätzlicher Akustikbonus.
Kolkrabe,Corvus corax,DK,may_aug,3,0,3,akustisch dankbar,Kolkraben sind sehr ruffreudig und ihre tiefen Rufe tragen weit. Daher kein zusätzlicher Akustikbonus.
Kranich,Grus grus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kranich,Grus grus,SE-SOUTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Kuckuck,Cuculus canorus,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Lachmöwe,Chroicocephalus ridibundus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Lachmöwe,Chroicocephalus ridibundus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mantelmöwe,Larus marinus,NO,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mauersegler,Apus apus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mauersegler,Apus apus,DE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mehlschwalbe,Delichon urbicum,DE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mehlschwalbe,Delichon urbicum,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Misteldrossel,Turdus viscivorus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Misteldrossel,Turdus viscivorus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mittelmeermöwe,Larus michahellis,DE-NORTH,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Mittelspecht,Dendrocoptes medius,DE-CENTRAL,may_aug,3,1,4,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,DE-NORTH,may_aug,4,1,5,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,DE-SOUTH,may_aug,3,1,4,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,DK,may_aug,5,1,6,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,NO,may_aug,10,1,10,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,SE-CENTRAL,may_aug,8,1,9,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
